45,57,0
235,185,0
507,106,1
170,36,0
469,115,0
52,196,1
305,139,0
180,19,1
530,1,1
142,189,0
553,50,0
245,124,1
462,136,0
503,45,1
34,2,1
382,158,0
98,122,1
368,92,0
236,167,0
97,110,1
96,1,1
549,39,2
466,173,0
460,42,0
442,135,0
306,18,0
355,147,1
367,25,1
38,124,1
12,5,0
460,16,0
134,128,0
231,98,1
159,120,0
217,166,1
245,53,0
523,176,0
307,11,0
431,11,1
513,53,0
210,45,0
397,133,2
98,7,1
301,117,0
137,92,1
224,38,0
449,37,0
288,51,0
130,5,2
512,88,1
294,85,1
56,22,1
101,189,0
43,130,1
279,101,1
412,101,1
6,172,1
431,42,0
20,147,1
33,161,0
106,33,0
159,193,1
291,148,0
177,87,0
333,11,1
11,57,0
389,79,1
471,27,0
311,183,1
210,2,0
400,68,0
72,145,1
505,6,0
94,121,1
432,53,0
445,116,0
367,134,1
157,18,0
134,173,0
572,27,0
76,15,1
40,182,1
420,86,1
55,97,0
420,161,1
172,176,0
174,39,1
444,2,0
1,80,0
551,182,1
365,38,1
159,55,1
410,73,1
210,20,0
60,27,0
326,3,1
14,158,0
526,148,0
362,85,0
358,19,1
213,21,1
248,12,0
553,95,0
60,163,0
11,152,0
233,173,1
571,111,0
439,95,0
209,53,1
439,87,0
339,189,0
138,141,1
452,187,0
29,38,2
484,50,0
44,95,0
125,188,0
343,36,0
152,69,1
335,12,1
555,199,1
345,107,1
571,44,0
97,119,1
342,29,1
138,60,1
559,118,0
359,165,1
210,68,0
29,36,2
127,71,1
500,18,0
235,124,0
180,72,1
10,55,1
425,173,1
202,161,1
509,13,0
379,55,1
135,181,0
80,37,1
215,27,0
258,105,1
285,122,1
142,72,0
231,100,1
415,162,1
483,143,0
116,177,0
76,87,0
9,128,1
15,147,1
539,140,1
50,199,1
37,148,0
470,9,0
470,40,0
269,146,0
459,49,1
535,36,1
277,69,1
415,134,1
287,7,0
366,73,1
347,150,0
13,88,1
383,27,0
571,137,0
299,48,1
